,precision,recall,f1-score,support
A,1.0,1.0,1.0,10.0
B,1.0,1.0,1.0,9.0
C,1.0,1.0,1.0,8.0
D,1.0,1.0,1.0,10.0
E,1.0,1.0,1.0,10.0
F,0.6363636363636364,0.7,0.6666666666666666,10.0
G,1.0,1.0,1.0,10.0
I,0.9166666666666666,1.0,0.9565217391304348,11.0
K,1.0,1.0,1.0,10.0
L,1.0,1.0,1.0,10.0
M,0.9166666666666666,1.0,0.9565217391304348,11.0
N,1.0,0.9090909090909091,0.9523809523809523,11.0
O,1.0,1.0,1.0,9.0
P,1.0,1.0,1.0,11.0
Q,1.0,1.0,1.0,11.0
R,1.0,0.6666666666666666,0.8,9.0
S,0.6666666666666666,1.0,0.8,10.0
T,1.0,0.4,0.5714285714285714,10.0
U,0.8333333333333334,1.0,0.9090909090909091,10.0
accuracy,0.9315789473684211,0.9315789473684211,0.9315789473684211,0.9315789473684211
macro avg,0.945773524720893,0.9303030303030303,0.9269795040962091,190.0
weighted avg,0.9448963317384369,0.9315789473684211,0.9273238432048502,190.0
