,precision,recall,f1-score,support
A,1.0,1.0,1.0,10.0
B,1.0,1.0,1.0,9.0
C,1.0,1.0,1.0,8.0
D,1.0,1.0,1.0,10.0
E,1.0,1.0,1.0,10.0
F,1.0,0.9,0.9473684210526315,10.0
G,1.0,1.0,1.0,10.0
I,1.0,1.0,1.0,11.0
K,1.0,1.0,1.0,10.0
L,1.0,1.0,1.0,10.0
M,1.0,1.0,1.0,11.0
N,1.0,1.0,1.0,11.0
O,1.0,1.0,1.0,9.0
P,1.0,1.0,1.0,11.0
Q,1.0,1.0,1.0,11.0
R,1.0,1.0,1.0,9.0
S,1.0,1.0,1.0,10.0
T,0.9090909090909091,1.0,0.9523809523809523,10.0
U,1.0,1.0,1.0,10.0
accuracy,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9947368421052631
macro avg,0.9952153110047848,0.994736842105263,0.9947236512333465,190.0
weighted avg,0.9952153110047847,0.9947368421052631,0.9947236512333464,190.0
